base_beta,sigma,corr_len,sample_idx,alpha_min,sep_event
-0.18,0.05,0.02,31,-0.40437935309201917,1
-0.18,0.05,0.02,32,-0.40658133460682605,1
-0.18,0.05,0.02,33,-0.4078965180135564,1
-0.18,0.05,0.02,34,-0.40701580296692513,1
-0.18,0.05,0.02,35,-0.4056163362275248,1
-0.18,0.05,0.02,36,-0.40738626328581895,1
-0.18,0.05,0.02,37,-0.4060259753511653,1
-0.18,0.05,0.02,38,-0.4080224974284276,1
-0.18,0.05,0.02,39,-0.39747645228321504,1
-0.18,0.05,0.02,40,-0.40544553607024325,1
-0.18,0.05,0.02,41,-0.40378794185005124,1
-0.18,0.05,0.02,42,-0.40383037550701933,1
-0.18,0.05,0.02,43,-0.40825646937032023,1
-0.18,0.05,0.02,44,-0.4073087139163479,1
-0.18,0.05,0.02,45,-0.4058350702733594,1
-0.18,0.05,0.02,46,-0.40634542752308095,1
-0.18,0.05,0.02,47,-0.40053556381342337,1
-0.18,0.05,0.02,48,-0.40602853484798745,1
-0.18,0.05,0.02,49,-0.403207564985107,1
-0.18,0.05,0.02,50,-0.4012978131212862,1
-0.18,0.05,0.02,51,-0.4044157285559953,1
-0.18,0.05,0.02,52,-0.4072527186989292,1
-0.18,0.05,0.02,53,-0.40652550940469834,1
-0.18,0.05,0.02,54,-0.4031377280213527,1
-0.18,0.05,0.02,55,-0.40817946214306017,1
-0.18,0.05,0.02,56,-0.4013709553564955,1
-0.18,0.05,0.02,57,-0.40461818450464704,1
-0.18,0.05,0.02,58,-0.4049090954952261,1
-0.18,0.05,0.02,59,-0.3976888999318202,1
-0.18,0.05,0.1,0,-0.40313438666895746,1
-0.18,0.05,0.1,1,-0.4020684025998819,1
-0.18,0.05,0.1,2,-0.40527321877814404,1
-0.18,0.05,0.1,3,-0.4069485259482603,1
-0.18,0.05,0.1,4,-0.4020884550855433,1
-0.18,0.05,0.1,5,-0.40784513605576594,1
-0.18,0.05,0.1,6,-0.4039588320423069,1
-0.18,0.05,0.1,7,-0.4082977716419882,1
-0.18,0.05,0.1,8,-0.4069993942528522,1
-0.18,0.05,0.1,9,-0.40487268881971344,1
-0.18,0.05,0.1,10,-0.4064623632971851,1
-0.18,0.05,0.1,11,-0.40479208758116764,1
-0.18,0.05,0.1,12,-0.40804973812161005,1
-0.18,0.05,0.1,13,-0.40396566014232016,1
-0.18,0.05,0.1,14,-0.4059308405607198,1
-0.18,0.05,0.1,15,-0.40630491250838446,1
-0.18,0.05,0.1,16,-0.40785440319748356,1
-0.18,0.05,0.1,17,-0.4061807258046804,1
-0.18,0.05,0.1,18,-0.40786530771577517,1
-0.18,0.05,0.1,19,-0.40586242464054295,1
-0.18,0.05,0.1,20,-0.3929038040651344,1
-0.18,0.05,0.1,21,-0.40750403360264287,1
-0.18,0.05,0.1,22,-0.4044347465819213,1
-0.18,0.05,0.1,23,-0.4069589025392324,1
-0.18,0.05,0.1,24,-0.40595657565695725,1
-0.18,0.05,0.1,25,-0.40438013508186166,1
-0.18,0.05,0.1,26,-0.4042518621984951,1
-0.18,0.05,0.1,27,-0.4043793016848101,1
-0.18,0.05,0.1,28,-0.40141116896215234,1
-0.18,0.05,0.1,29,-0.4071468611609065,1
